CreatedDate,pm25_Lakshmi K: Living room,pm10_Lakshmi K: Living room,aqi_Lakshmi K: Living room
07-05-2024 11:30,49,150,133
07-05-2024 11:45,49,150,133
07-05-2024 12:00,51,158,139
07-05-2024 12:15,52,163,142
07-05-2024 12:30,59,190,160
07-05-2024 12:45,61,197,165
07-05-2024 13:00,57,180,153
07-05-2024 13:15,59,189,159
07-05-2024 13:30,65,215,177
07-05-2024 13:45,67,227,185
07-05-2024 14:00,72,244,196
07-05-2024 14:15,68,227,185
07-05-2024 14:30,65,216,177
07-05-2024 14:45,64,214,176
07-05-2024 15:00,65,218,179
07-05-2024 15:15,64,213,175
07-05-2024 15:30,63,209,173
07-05-2024 15:45,61,201,167
07-05-2024 16:00,61,196,164
07-05-2024 16:15,61,200,167
07-05-2024 16:30,70,233,189
07-05-2024 16:45,79,260,210
07-05-2024 17:00,73,249,199
07-05-2024 17:15,67,223,182
07-05-2024 17:30,65,218,179
07-05-2024 17:45,66,221,181
07-05-2024 18:00,68,227,185
07-05-2024 18:15,70,235,190
07-05-2024 18:30,68,229,186
07-05-2024 18:45,69,231,187
07-05-2024 19:00,69,233,189
07-05-2024 19:15,70,235,190
07-05-2024 19:30,74,251,201
07-05-2024 19:45,75,252,202
07-05-2024 20:00,73,249,199
07-05-2024 20:15,74,252,202
07-05-2024 20:30,76,255,205
07-05-2024 20:45,77,256,206
07-05-2024 21:00,76,254,204
07-05-2024 21:15,80,261,211
07-05-2024 21:30,79,260,210
07-05-2024 21:45,81,263,213
07-05-2024 22:00,82,266,216
07-05-2024 22:15,81,263,213
07-05-2024 22:30,80,262,212
07-05-2024 22:45,80,261,211
07-05-2024 23:00,80,262,212
07-05-2024 23:15,80,262,212
07-05-2024 23:30,80,262,212
07-05-2024 23:45,81,263,213
08-05-2024 00:00,81,264,214
08-05-2024 00:15,81,264,214
08-05-2024 00:30,81,263,213
08-05-2024 00:45,81,263,213
08-05-2024 01:00,83,266,216
08-05-2024 01:15,86,270,220
08-05-2024 01:30,86,269,219
08-05-2024 01:45,86,269,219
08-05-2024 02:00,88,271,221
08-05-2024 02:15,89,273,223
08-05-2024 02:30,88,271,221
08-05-2024 02:45,86,270,220
08-05-2024 03:00,84,267,217
08-05-2024 03:15,82,265,215
08-05-2024 03:30,81,263,213
08-05-2024 03:45,82,265,215
08-05-2024 04:00,82,265,215
08-05-2024 04:15,82,266,216
08-05-2024 04:30,83,266,216
08-05-2024 04:45,82,266,216
08-05-2024 05:00,81,263,213
08-05-2024 05:15,79,260,210
08-05-2024 05:30,78,258,208
08-05-2024 05:45,77,257,207
08-05-2024 06:00,77,256,206
08-05-2024 06:15,76,255,205
08-05-2024 06:30,75,253,203
08-05-2024 06:45,78,258,208
08-05-2024 07:00,77,256,206
08-05-2024 07:15,74,251,201
08-05-2024 07:30,72,242,195
08-05-2024 07:45,71,240,193
08-05-2024 08:00,72,244,196
08-05-2024 08:15,75,252,202
08-05-2024 08:30,73,248,199
08-05-2024 08:45,73,250,200
